customer_id,full_name,email,phone,date_of_birth,country,created_at
70d3d2cd-b568-4f25-aa57-e642f6c5deb5,William Jennings,cpratt@example.net,+442074960837,1976-01-10,IE,2022-11-17T02:34:15.693377
1dc9e3fb-f279-470e-8884-f818bee4da6d,Lesley Wilson-Newman,phillipscott@example.net,0131 4960331,1981-12-09,IE,2025-01-04T01:26:54.505551
2557ac07-52c7-44bd-bac8-c687c7413d0e,Abdul Hopkins,mbrown@example.net,+44131 496 0510,1980-02-03,IE,2026-04-17T07:34:27.444577
1f7eb1de-e637-4e56-b3fe-57f54f33b3e2,Mrs Lauren Green,evansgeorgia@example.net,+44(0)1632 960691,1952-11-12,IE,2022-04-13T00:41:57.015910
f66c59b3-7d2a-44dc-9204-69351ce805cb,Tina Foster,sam38@example.com,+44(0)151 496 0119,1974-06-06,IE,2021-11-30T01:37:46.179350
124e7a33-f250-4466-a860-5d98a739419b,Nigel Edwards,lisarichards@example.net,0808 157 0165,1956-03-16,IE,2023-08-29T22:55:56.672403
c64cfe68-ee8a-48ed-aae9-2b6719415b50,Abdul Burton-Patterson,abbie19@example.com,+449098790576,1991-06-05,IE,2022-01-28T06:52:15.030757
62cbbddf-9a18-458e-a2cb-6f4160e2142e,Sarah Reed-Walsh,beth65@example.com,01134960748,2005-02-05,IE,2025-10-28T16:16:18.233461
f5bab7f5-9447-4a53-a9fd-9b38d26d2a44,Miss Olivia Bryan,simsdamian@example.com,(028) 9018 0506,,IE,2021-06-13T05:03:02.176384
28408d1c-de7e-4f0b-8289-69e98ce7b228,Dr Lee Green,kate36@example.org,(0117)4960596,1988-07-19,IE,2021-11-10T06:27:44.140370
3f79801d-d6d5-410e-820a-433f3820de31,Eleanor Baker,marcus95@example.com,(0909)8790706,1967-08-03,IE,2024-05-28T14:13:05.926340
9f7606f2-36cc-48f5-977a-1b2b021e757e,Wayne Gough,qwilson@example.com,+44113 496 0322,1965-10-31,IE,2022-02-01T02:36:43.145642
f37a585e-66f9-443f-85b3-40da5eb5a128,Bernard Wilkinson-Simpson,singhmegan@example.net,+44(0)118 4960043,1953-08-20,IE,2021-06-09T08:32:16.720172
caac5527-2e56-4ba0-9441-4641a6057bdb,Mrs Julia Harris,qwoodward@example.com,+44(0)28 9018061,1950-12-15,IE,2023-08-30T10:32:36.957539
4a9a3a3c-cf96-4ac0-abd0-dfbc0f018ef7,Dylan Young,albert03@example.com,08081570266,1961-03-02,US,2023-02-19T21:38:37.453856
977892fd-0eed-496a-8779-b73a7fccbbd5,Ms Lindsey Rees,elliotcarey@example.net,+44115 4960510,1969-09-04,IE,2023-07-07T17:40:58.734665
f4c33a22-82b6-4212-8019-f09ba999f004,Geoffrey Griffin,alexandrawhite@example.org,(0116) 496 0800,1986-01-24,IN,2023-07-20T19:11:06.703316
55bc90a5-ed66-4973-925b-1d6ac7a64486,Megan Taylor,shaunharding@example.net,0151 4960898,1960-06-04,IE,2023-01-13T01:11:49.526440
23b10124-7f67-4d4e-bed3-0cd1734799cf,Miss Carole Woods,owen35@example.net,03069990730,1951-06-09,IE,2021-05-24T09:18:44.822213
5f32e5b6-57bf-4fb1-9169-d8c23982ba08,Ms Sheila Evans,amanda19@example.net,(0121) 4960312,1952-07-22,IE,2023-09-18T07:01:02.186289
548a0ce6-390d-4897-894b-25497c4906a2,Aaron Harrison,diane97@example.org,(0116) 4960849,2006-01-18,IE,2023-07-25T15:19:23.907947
